Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demonstrations,logistics,Crewed,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Transporter,Bandwagon,Flight tests,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,Failure,4 June 2010,18:45
,CCAFS,Dragon,525 kg,LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,"No attempt
",4 June 2010,18:45
,CCAFS,Dragon,"4,700 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,No attempt,4 June 2010,18:45
,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0004.18,"No attempt
",8 December 2010,15:43
,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,MDA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0005.18,Uncontrolled,22 May 2012,07:44
,VAFB,CASSIOPE,"3,170 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0006.18,No attempt,8 October 2012,00:35
,CCAFS,SES-8,"3,325 kg",GTO,Thaicom,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0007.18,No attempt,1 March 2013,15:10
,CCAFS,Thaicom 6,"2,296 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.17B10038,Controlled,29 September 2013,16:00
,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,Orbcomm,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Controlled,3 December 2013,22:41
,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,AsiaSat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,No attempt,6 January 2014,22:06
,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,AsiaSat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,"No attempt
",18 April 2014,19:25
,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Uncontrolled,14 July 2014,15:15
,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Failure ,5 August 2014,08:00
,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,USAF,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Controlled,7 September 2014,05:00
,Cape Canaveral,DSCOVR,"4,159 kg",GTO,ABS,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,21 September 2014,05:52
,Cape Canaveral,ABS-3A,"1,898 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,10 January 2015,09:47
,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,11 February 2015,23:03
,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,Failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Precluded,2 March 2015,03:50
,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,Orbcomm,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Success,14 April 2015,20:10
,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,27 April 2015,23:03
,VAFB,Jason-3,"5,271 kg",GTO,SES,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,28 June 2015,14:21
,Cape Canaveral,SES-9,"3,136 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,22 December 2015,01:29
,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Success,17 January 2016,18:42
,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,Thaicom,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,4 March 2016,23:35
,Cape Canaveral,Thaicom 8,"3,600 kg",GTO,ABS,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Failure,8 April 2016,20:43
,Cape Canaveral,ABS-2A,"2,257 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,6 May 2016,05:21
,Cape Canaveral,SpaceX CRS-9,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,27 May 2016,21:39
,Cape Canaveral,JCSAT-16,"9,600 kg",Polar,Iridium Communications,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,15 June 2016,14:29
,VAFB,Iridium NEXT,"2,490 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,18 July 2016,04:45
,KSC,SpaceX CRS-10,"5,600 kg",GTO,EchoStar,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,14 August 2016,05:26
,KSC,EchoStar 23,"5,300 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,14 January 2017,17:54
,KSC,SES-10,C,LEO,NRO,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,19 February 2017,14:39
,KSC,NROL-76,"6,070 kg",GTO,Inmarsat,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,16 March 2017,06:00
,KSC,Inmarsat-5 F4,"2,708 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT♺[,Success,30 March 2017,22:27
,KSC,SpaceX CRS-11,"3,669 kg",GTO,Bulsatcom,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,1 May 2017,11:15
,KSC,BulgariaSat-1,"9,600 kg",LEO,Iridium Communications,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,15 May 2017,23:21
,VAFB,Iridium NEXT,"6,761 kg",GTO,Intelsat,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,No attempt,3 June 2017,21:07
,KSC,Intelsat 35e,"3,310 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1029.2195,Success,23 June 2017,19:10
,KSC,SpaceX CRS-12,475 kg,SSO,NSPO,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,25 June 2017,20:25
,VAFB,Formosat-5,"4,990 kg",LEO,USAF,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,5 July 2017,23:38
,KSC,Boeing X-37B,"9,600 kg",Polar,Iridium Communications,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,14 August 2017,16:31
,VAFB,Iridium NEXT,"5,200 kg",GTO,SES S.A.,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT[,Success,24 August 2017,18:51
,KSC,SES-11,"3,500 kg",GTO,KT Corporation,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,7 September 2017,14:00
,KSC,Koreasat 5A,"2,205 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,9 October 2017,12:37
,Cape Canaveral,SpaceX CRS-13,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1031.2220,Controlled,11 October 2017,22:53:00
,VAFB,Iridium NEXT,C,LEO,Northrop Grumman,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,30 October 2017,19:34
,CCAFS,Zuma,"4,230 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1035.2227,Controlled,15 December 2017,15:36
,CCAFS,GovSat-1,"2,150 kg",SSO,Hisdesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1036.2227,No attempt,23 December 2017,01:27
,VAFB,Paz,"6,092 kg",GTO,Hispasat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,No attempt,8 January 2018,01:00
,CCAFS,Hispasat 30W-6,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1032.2245,No attempt,31 January 2018,21:25
,VAFB,Iridium NEXT,"2,647 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1038.2268,No attempt,22 February 2018,14:17
,CCAFS,SpaceX CRS-14,362 kg,HEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,Success,6 March 2018,05:33
,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",GTO,Thales-Alenia,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1041.2268,Success,30 March 2018,14:14
,KSC,Bangabandhu-1,"6,460 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1039.2292,No attempt,2 April 2018,20:30
,VAFB,Iridium NEXT,"5,384 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4[,No attempt,18 April 2018,22:51
